Title	FRED Chemgauss4 score
C74210003	P115654798	-9.089059
C88488803	P138408179	-9.087273
C19428761	P28756483	-9.069130
C88067459	P137750760	-9.063286
C94719907	P148464092	-9.056400
C82988366	P129757104	-9.053867
C36285937	P53923458	-9.053055
C86093116	P134836689	-9.050528
C54154432	P81466114	-9.046292
C39065006	P59185477	-9.043625
C37902477	P56948622	-9.038651
C36131303	P53675666	-9.035130
C87588443	P137003148	-9.030970
C42030400	P63621419	-9.030218
C91648739	P143473275	-9.029100
C82471512	P128883647	-9.020718
C70638491	P108965909	-9.020224
C37730086	P56098235	-9.015306
C83693137	P130915850	-9.010681
C82381623	P128718450	-9.006573
Penicillamine	P10000034	-8.986105
C84472387	P153165800	-8.985324
C71025116	P109616447	-8.981290
C85004486	P133054956	-8.974888
V-9302	-8.967205
C85227463	P133359195	-8.966544
C72344410	P112473852	-8.965075
C90953253	P142274861	-8.964395
C97905000	P155397495	-8.959318
C77286850	P120571487	-8.957767
C41012614	P62260088	-8.956521
C85302973	P133481584	-8.953609
C42271757	P87779434	-8.951270
C93830096	P147036972	-8.944714
C87583858	P137000855	-8.938182
C87750457	P137259032	-8.933823
C87869111	P137439811	-8.922659
C88001803	P137647695	-8.922155
C87441208	P136788672	-8.917673
C40366541	P61281403	-8.913494
C70062489	P107994538	-8.910075
C34977828	P51916462	-8.909971
C70646602	P108984036	-8.907587
C50242200	P137988432	-8.904614
C87446092	P136813147	-8.892519
C42040419	P63626314	-8.890254
C41058632	P62326118	-8.886225
C61707657	P94524272	-8.885702
C36872229	P120860510	-8.883236
C86434335	P135332703	-8.873646
C54009804	P81226696	-8.870695
C41096691	P62370126	-8.870119
C70841683	P109362130	-8.868568
C38038649	P57193787	-8.862164
C89646623	P140145016	-8.858612
C55166662	P83101249	-8.856964
C00308122	P06630034	-8.856606
C83746155	P131018728	-8.851064
acivicin	P10000037	-8.847694
C38007993	P120930287	-8.846401
C70368618	P108497256	-8.842899
C79518003	P124270678	-8.838175
C35429059	P52567788	-8.832699
C95868194	P150889557	-8.831957
C85379802	P133639336	-8.826222
C04403143	P05907347	-8.823181
C72200928	P112162344	-8.818127
C81988202	P127905425	-8.817208
C44170752	P130288104	-8.810045
C90312751	P141186425	-8.808767
C87601468	P137040424	-8.805536
C40605671	P61647454	-8.798795
C05131842	P07583908	-8.796896
C86062192	P134790942	-8.796336
C87047543	P136261645	-8.789991
C70947713	P109519860	-8.787955
C00143779	P09002034	-8.786525
C61698444	P94503117	-8.785541
C16889838	P25447432	-8.782023
C91671606	P143506820	-8.782022
C88023610	P137670459	-8.781569
C86525873	P135471827	-8.781546
C86400074	P135284224	-8.774124
C44776899	P67529880	-8.772884
C80052265	P125060489	-8.772269
C82870303	P129537025	-8.769632
C87400800	P136736128	-8.769136
C87344568	P136645691	-8.763670
C00052654	P05412671	-8.761296
C37163577	P55271116	-8.758481
C50394896	P75386401	-8.755216
C39094979	P59234636	-8.751958
C90311313	P141184916	-8.750319
C40362617	P61274397	-8.749757
C85446673	P133732895	-8.745708
L-Leucine	P10000026	-8.744357
C36872179	P90374924	-8.742479
C54504056	P82019658	-8.741726
C90017133	P140710816	-8.740499
C82410021	P128783110	-8.740072
C84081050	P131584458	-8.739841
C37207947	P55328418	-8.733908
C42031446	P63624753	-8.732895
C03872997	P04549451	-8.729027
C87395422	P136731529	-8.725458
C19472821	P28835153	-8.721867
chloroalanine	P10000035	-8.714447
C87341085	P136651115	-8.708849
C71789783	P111278390	-8.708742
C88037185	P137697142	-8.707041
C36827785	P54736345	-8.702247
C82467277	P128880059	-8.700199
C42973221	P64975400	-8.696069
C97647104	P154815275	-8.686794
L-Asparagine	P10000024	-8.679745
C70842458	P128807509	-8.673826
C18310963	P151024905	-8.670884
C35892937	P53283978	-8.667149
C42029852	P63624183	-8.666057
C93296832	P146059061	-8.663989
C05517275	P08195379	-8.661926
C97694173	P154943471	-8.659786
TBOA	-8.658274
C86695381	P135727229	-8.657106
C37269428	P55419407	-8.656701
C94297055	P147797732	-8.656352
C87338650	P136656130	-8.646049
C16137473	P24436333	-8.645185
C82473325	P128885474	-8.644513
C85836742	P134413409	-8.641027
C37321360	P55502532	-8.639925
C88037184	P137697140	-8.639116
C92561653	P144878475	-8.637077
C85004490	P133054962	-8.634878
L-Methionine	P10000023	-8.632565
C11616542	P120183584	-8.629563
Schulte-2016	-8.622914
C70947907	P128809630	-8.622192
C42436697	P64186413	-8.620712
C82467311	P128880080	-8.616680
C39078638	P59214267	-8.612537
C97640642	P154823007	-8.611777
C83440903	P130531180	-8.610619
C87688032	P137156844	-8.606268
C88067457	P137750758	-8.604677
C85248959	P133376742	-8.601797
C86525873	P135471823	-8.598883
C87395422	P136737161	-8.595295
C62314433	P95618880	-8.591593
C72313242	P112387662	-8.591242
C59696613	P90963035	-8.590685
C85200009	P133290367	-8.590552
C70294142	P108366885	-8.590288
C43232489	P65406561	-8.588501
C80739801	P126048467	-8.588092
C41050702	P62310475	-8.582587
C36227544	P53841356	-8.581873
C88001846	P137647841	-8.580604
C22061976	P32822232	-8.579728
C93827756	P147015387	-8.577107
C82432959	P128823808	-8.567826
C89190673	P139492299	-8.565735
C87395652	P136731630	-8.563019
C97761907	P155131893	-8.562449
C77293168	P120587004	-8.562265
C87602094	P137029746	-8.556771
C86503752	P135438226	-8.556365
C95023555	P148959325	-8.556339
C85418703	P133700532	-8.555038
C95836526	P150813888	-8.554212
C70590896	P108886031	-8.551384
C83574842	P130736246	-8.547123
C51840091	P77649079	-8.545455
C05725726	P08547959	-8.542215
C35798415	P53128470	-8.539174
C83467584	P130570487	-8.538218
C87362366	P136701184	-8.536542
C87440425	P136787889	-8.536381
C72225679	P112211237	-8.535984
C87440555	P136788019	-8.534866
C83591180	P130750978	-8.534547
C88037226	P137697175	-8.534163
C85619496	P134078010	-8.525656
C85802150	P134355349	-8.524796
C98352729	P156427866	-8.522763
C82463068	P128876951	-8.522274
