Title	FRED Chemgauss4 score
C40545288	P61562844	-6.767695
C93848609	P147064787	-6.761789
C83746314	P131018925	-6.761647
C50673182	P75791398	-6.754962
C00162126	P05572008	-6.753464
C80531825	P125774743	-6.750628
C82996710	P129767449	-6.749989
C39941433	P60608795	-6.749690
C77293168	P120587004	-6.746644
C54138565	P81447022	-6.743800
C22062005	P32835722	-6.741991
C83676414	P130905360	-6.740518
C85619496	P134078010	-6.739599
C50141891	P128496873	-6.737792
C04329332	P05730540	-6.734172
C05600631	P89906419	-6.734141
C97762331	P155116902	-6.732820
C63065286	P128791481	-6.729904
C82463068	P128876951	-6.725220
C82882993	P129561702	-6.722343
C71791139	P111281991	-6.721599
C95869931	P150894235	-6.715451
C41012614	P62260088	-6.714985
C31963761	P48096834	-6.710263
C36264756	P53889251	-6.703079
C82841439	P129491441	-6.702713
C62314433	P95618880	-6.701156
C97831917	P155269791	-6.700646
L-Leucine	P10000026	-6.690004
C70590896	P108886031	-6.689507
C38006454	P120930283	-6.686260
C92799609	P145297781	-6.681537
C39941431	P60608793	-6.681043
C83142747	P129966553	-6.672232
C26574468	P151033270	-6.670791
C86553403	P135506298	-6.667391
C82410021	P128783110	-6.655972
C36827785	P54736345	-6.650785
L-Cysteine	P10000030	-6.647082
C95627120	P150369225	-6.644341
C83758292	P131046739	-6.642923
C40807009	P61962224	-6.636347
C84386632	P132041144	-6.635940
C05131842	P07583908	-6.631800
C86525873	P135471823	-6.626610
C97248644	P154004608	-6.625400
C80532104	P125763200	-6.619877
C87600283	P137027686	-6.619017
C82410506	P128782164	-6.616257
C87343894	P136653808	-6.616251
C00896178	P50892193	-6.616217
C50649018	P75778015	-6.605233
C40605671	P61647454	-6.602283
C63932433	P98159463	-6.595889
C38600476	P58429224	-6.595170
C19258164	P28484676	-6.592972
C82915766	P129631297	-6.590718
C54009804	P81226696	-6.589664
C83746155	P131018728	-6.585958
C86525867	P135471773	-6.584868
C35202844	P52236352	-6.584836
C37919944	P56983499	-6.575714
C82681682	P129224236	-6.563767
C70628890	P108955305	-6.562258
C22059726	P32818286	-6.558248
C85227463	P133359195	-6.546368
C13887744	P21381985	-6.546357
C80996774	P126495927	-6.545564
C63405356	P97370607	-6.543913
C90311313	P141184916	-6.540191
C41058784	P62326215	-6.540135
C70495500	P108751999	-6.540002
C61594745	P94307894	-6.539194
C03881806	P04582166	-6.537953
C90433671	P141417571	-6.537248
C70841683	P109362130	-6.529834
C22212436	P33050508	-6.525670
C76135993	P118750968	-6.523130
C48630886	P72699249	-6.521846
C38803740	P58769686	-6.517333
C44470815	P150394998	-6.516572
C17173856	P25815810	-6.514122
C35137616	P88193130	-6.498874
C61842909	P94744252	-6.493987
C43115293	P65342176	-6.493484
C04787862	P06905685	-6.488448
C87341085	P136651115	-6.486368
C85371966	P133630555	-6.477125
C70914375	P109455270	-6.475438
C90433636	P141417536	-6.474729
C35329488	P52423136	-6.474170
C01529270	P05158732	-6.473971
C01762927	P05459972	-6.473334
C42271757	P87779434	-6.472425
C88628307	P138624546	-6.471073
C70947713	P109519860	-6.469378
C85248959	P133376742	-6.468898
C86660203	P135651933	-6.466702
C40545286	P61562841	-6.461838
C53110661	P79635694	-6.460576
C81988202	P127905425	-6.460206
C83993337	P131402648	-6.458510
C01532676	P04873483	-6.458428
C80043308	P125038908	-6.451606
C82995805	P129751681	-6.448963
C37751076	P56135865	-6.448893
C44686306	P67425244	-6.439713
C84405170	P132073028	-6.439079
C84472387	P153165800	-6.438248
C85187277	P133297783	-6.435563
C69638109	P107234400	-6.434408
C48630515	P72697623	-6.432868
C80590635	P125852228	-6.427296
C82872757	P129533931	-6.426485
C35679899	P52962559	-6.420677
C84991419	P133024252	-6.419400
C36762383	P54642196	-6.415953
C42436697	P64186413	-6.408806
C82471512	P128883647	-6.406716
C09915899	P111277742	-6.406242
C88001846	P137647841	-6.404573
C98245623	P156263510	-6.393421
C88067871	P137751168	-6.391480
C51004195	P76349427	-6.390999
C54793127	P82471189	-6.387286
C85189699	P133308478	-6.375174
C86827631	P135917923	-6.374123
C86591349	P135571780	-6.372824
C50445595	P75433552	-6.372591
C82563966	P129028527	-6.372114
C52815753	P79155819	-6.370925
C87826162	P137377939	-6.368217
C41011592	P62245845	-6.359998
C82887367	P129564044	-6.359581
C94072275	P147433706	-6.357260
C63065427	P96833789	-6.352330
C85248143	P133396850	-6.351949
C90805554	P142050179	-6.350203
C37461511	P55710219	-6.349830
C34519122	P151017257	-6.348440
C82897318	P129593492	-6.348348
C88062526	P137750046	-6.344754
C40366541	P61281403	-6.340428
C01532575	P57081966	-6.338384
C85074710	P133146096	-6.333506
C83918821	P131301165	-6.331983
C36285937	P53923458	-6.328403
C86618100	P135623818	-6.326694
C67425135	P103549599	-6.320696
C98178296	P156128865	-6.319690
C70286936	P108345849	-6.316419
C20974560	P101623439	-6.313820
C62086107	P95267279	-6.312330
C37677234	P56041032	-6.308602
C95924454	P151032095	-6.306533
C40366517	P61281379	-6.304561
C82916931	P129633296	-6.302253
C42029926	P63621323	-6.297972
C84117419	P131645698	-6.296071
chloroalanine	P10000035	-6.292908
C49330080	P73697318	-6.290787
C85004490	P133054962	-6.289368
C95922757	P151023630	-6.287244
C88001018	P137647184	-6.283525
C51113447	P76540543	-6.280578
C69791155	P107540367	-6.278578
C54526015	P82065671	-6.270520
C74210003	P115654798	-6.267065
C98091800	P155914780	-6.266764
C05157121	P07617928	-6.266238
C95636648	P150389150	-6.265167
C88000630	P137646920	-6.259449
C48248090	P128160691	-6.256841
C85353307	P133560752	-6.256288
C39094985	P59234642	-6.255602
C70947907	P128809630	-6.253122
C63154913	P96986964	-6.248478
C36872179	P90374924	-6.243406
C26899001	P39653911	-6.239982
C63063083	P96833322	-6.238832
C90017133	P140710816	-6.238358
C80744995	P126055637	-6.237693
C02558640	P06221219	-6.234979
C79162526	P123601573	-6.232326
C87375881	P136703724	-6.230299
C78676016	P122779583	-6.228878
C83872281	P131208497	-6.224570
C85353245	P133560517	-6.219394
C71789783	P111278390	-6.219320
C84117862	P131638256	-6.216211
C81922581	P127811112	-6.214401
C87121137	P136358272	-6.211033
C88488803	P138408179	-6.209958
C52785703	P79103784	-6.209181
