Title	FRED Chemgauss4 score
C37163577	P55271116	-6.644445
C44509817	P128444641	-6.644069
C83270613	P130167392	-6.642081
C94090296	P147458364	-6.638448
C88037217	P137697158	-6.638001
C83824098	P131129758	-6.631735
C84472387	P153165800	-6.631122
C50141891	P128496873	-6.625563
C85835256	P134409813	-6.623322
C82870303	P129537025	-6.622769
C82583446	P129059853	-6.618908
C42040413	P63623377	-6.618124
C87618088	P137068422	-6.617850
C88023787	P137677865	-6.616419
C62314433	P95618880	-6.612121
C63180763	P97025531	-6.610160
C93825618	P147013249	-6.608232
C36807941	P54704637	-6.608008
C87362366	P136701184	-6.605753
C36915741	P54887083	-6.605109
C06184893	P09576532	-6.604953
C36746501	P54604745	-6.602155
C92496043	P144788371	-6.600508
Penicillamine	P10000034	-6.599338
C82515868	P128954842	-6.598983
C40545676	P61563278	-6.598109
C82463068	P128876951	-6.596649
C82924737	P129630013	-6.593158
C63135344	P96965078	-6.575207
C87111177	P136357235	-6.564615
C50242200	P137988432	-6.561818
C97760673	P155145279	-6.560994
C70239492	P108269149	-6.549786
C82161598	P128260631	-6.549467
C95393957	P149847473	-6.549369
C70286936	P108345849	-6.547428
C87440555	P136788019	-6.544906
C84208274	P131759461	-6.535961
C83693351	P130916066	-6.534124
C84444357	P132149567	-6.531180
C80739801	P126048467	-6.527742
C83272026	P130167815	-6.526749
C88490101	P138409497	-6.517705
C50499210	P75511884	-6.511580
C42805961	P64708179	-6.511076
C04544521	P06219506	-6.510118
C85253424	P133383802	-6.507178
C97753120	P155083024	-6.506546
C93853010	P147069188	-6.506271
C97831917	P155269791	-6.502135
C36877036	P120919263	-6.501056
C82897720	P129591541	-6.496474
C83993337	P131402648	-6.494175
C95045183	P149000638	-6.493763
C87666342	P137137137	-6.483082
C62086107	P95267279	-6.473506
C85790865	P134349332	-6.470495
C94718071	P148459693	-6.470308
C40261514	P61120112	-6.466068
C79910210	P124846163	-6.463875
C70277932	P108339420	-6.463856
C86525873	P135471827	-6.462543
C48630515	P72697623	-6.458684
C39094985	P59234642	-6.458390
C37036752	P55054206	-6.448346
C87441208	P136788672	-6.447538
C52925068	P79325338	-6.447477
C84057443	P131527988	-6.446538
C87121096	P136358264	-6.446161
C85133553	P133223209	-6.444503
C80052265	P125060489	-6.443966
C39343967	P155915743	-6.441307
C01719293	P06382694	-6.440180
C97135058	P153777836	-6.436187
C05510479	P08181956	-6.435456
C84057443	P131532065	-6.433831
C94794084	P148574506	-6.432076
C94233960	P147687780	-6.429183
C01532575	P57081966	-6.428624
C70239150	P108268807	-6.426908
C74189571	P115619256	-6.424929
C97910502	P155409201	-6.415527
C36227544	P53841356	-6.414320
C36872464	P54806293	-6.412436
C45169388	P68083549	-6.410417
C97776743	P155157585	-6.407883
C94262347	P147739855	-6.401128
C20216890	P30117378	-6.399069
C85187277	P133297783	-6.397885
C70628574	P108955020	-6.394259
C92292923	P144481736	-6.391732
C88001803	P137647695	-6.379313
C82899427	P129595484	-6.377089
C70638491	P108965909	-6.375885
C43232489	P65406561	-6.375032
C90433671	P141417571	-6.374959
C88984598	P139179454	-6.374599
C94232859	P147685151	-6.371121
C37269428	P55419407	-6.369958
C82381623	P128718450	-6.368071
C97941799	P155495002	-6.367953
C49689603	P74238009	-6.366617
C83746155	P131018728	-6.362420
C90313229	P141186972	-6.359320
C81988202	P127905425	-6.356284
C49753446	P74337722	-6.351972
C35716825	P53011960	-6.339638
C34604564	P120599899	-6.339590
C35904583	P53307746	-6.337440
C85227045	P133358857	-6.336734
C39065281	P59185761	-6.333525
C63063083	P96833322	-6.329134
C39136597	P59287216	-6.328403
C19264076	P28486446	-6.320758
C82872757	P129533931	-6.316544
C33636969	P49840826	-6.315816
C85253958	P133399080	-6.314685
C37191777	P55304598	-6.309800
C82598966	P129091305	-6.303493
C87588301	P137003098	-6.301641
C48630893	P72706708	-6.297153
C35137616	P88193130	-6.296182
C54503944	P82019601	-6.294783
C42443275	P64209734	-6.294396
C92996988	P145595040	-6.293909
C40710779	P61812576	-6.289102
C87993543	P137628739	-6.288123
C12504391	P18375293	-6.287982
C80627122	P125899765	-6.287757
C13542855	P133974200	-6.283626
C85418703	P133700532	-6.283285
C72210676	P112179503	-6.281566
C86007953	P134727430	-6.281090
C69232463	P106461500	-6.279947
C70914375	P109455270	-6.275333
C92852498	P145382574	-6.274893
C16735860	P25239542	-6.269049
C82467277	P128880059	-6.266456
C67822127	P104135382	-6.266205
C48630888	P72699270	-6.266087
C90493141	P141528232	-6.265846
C83747622	P131020498	-6.265694
C72210807	P112191516	-6.262285
C87061796	P136265586	-6.262014
C86618100	P135623818	-6.260924
C72187999	P112132748	-6.257961
C97643416	P154810398	-6.257467
C54793127	P82471189	-6.252336
C03830678	P56795441	-6.250787
C87440425	P136787889	-6.250406
C89832756	P140428014	-6.249582
C97581700	P154674553	-6.245509
C79926186	P124866785	-6.245078
C54897756	P82660573	-6.243771
C68645088	P105396542	-6.243360
C75108405	P116956145	-6.243265
C22936959	P104234106	-6.243198
C86576375	P135532690	-6.238390
C61698444	P94503117	-6.234447
C86313331	P135162295	-6.229746
C87580198	P137000610	-6.228454
C82915762	P129631292	-6.228452
C67844972	P104163880	-6.227478
C82563966	P129028527	-6.225040
C67783339	P104079223	-6.223308
C87602094	P137029746	-6.222610
C72430167	P112678220	-6.220020
C20443548	P30507208	-6.218292
C44470815	P150394998	-6.213916
C83693137	P130915850	-6.209743
C54526408	P82058826	-6.208704
C82561209	P129033956	-6.208547
C79095671	P123477401	-6.204758
C40710569	P61812514	-6.202126
C70628573	P108955019	-6.199377
C95046220	P149005380	-6.197802
C85252515	P133382402	-6.195437
C34519122	P151017257	-6.194709
C97640642	P154823007	-6.190949
C97736321	P155065748	-6.190447
C85227463	P133359195	-6.188916
C40348239	P61248580	-6.185143
C82410507	P128782165	-6.184623
C78950515	P123230050	-6.183856
C85249013	P133397388	-6.182292
C34797558	P51637068	-6.181176
C82471531	P128883666	-6.181081
C70588816	P108883946	-6.178394
C04544532	P06219521	-6.176821
C72344410	P112473852	-6.169553
C87667525	P137128337	-6.168303
C73602805	P114608525	-6.163915
C38038841	P57193979	-6.163624
C41058784	P62326215	-6.159089
C36131303	P53675666	-6.158151
C94262800	P147740251	-6.157699
C50392648	P75365168	-6.157249
C41058628	P62323748	-6.153029
C03830888	P56794641	-6.150352
C70125679	P108093639	-6.140223
C85247316	P133396585	-6.136125
C82915348	P129630587	-6.135916
C71025116	P109616447	-6.134370
C01529270	P05158732	-6.123049
C01530418	P120022890	-6.117596
C54009804	P81226696	-6.110939
C31369269	P118184604	-6.110140
C70295850	P108368573	-6.107371
C11991515	P128707706	-6.106380
C90805554	P142050179	-6.103079
C87448493	P136805577	-6.098639
C71789783	P111278390	-6.096260
C39065006	P59185477	-6.095002
C48630886	P72699249	-6.094305
C85074710	P133146096	-6.090411
C01532566	P57081967	-6.090170
C03872997	P04549451	-6.083414
C74309835	P115824025	-6.081571
C82578002	P129061742	-6.080447
C95023555	P148959325	-6.077824
C37810574	P56238309	-6.073076
C94567135	P148238501	-6.069336
C05517275	P08195379	-6.068090
C50445595	P75433552	-6.061935
C36904451	P54858491	-6.060815
C40331928	P61226507	-6.056145
C86661154	P135662458	-6.054431
C41068534	P62332866	-6.053163
C85836742	P134413409	-6.052084
C87226357	P136491744	-6.042432
C86093116	P134836689	-6.037896
C76135993	P118750968	-6.036719
C61707657	P94524272	-6.036457
C91671606	P143506820	-6.035112
C82410506	P128782164	-6.032450
C98352729	P156427866	-6.029748
C85619496	P134078010	-6.029048
C83691805	P130926493	-6.028884
C62362185	P95703184	-6.028279
C94719907	P148464092	-6.025596
C86503752	P135438226	-6.024944
C82399830	P128760099	-6.018551
C95660646	P150432542	-6.008306
C01529206	P22833959	-6.008284
C04544517	P06219504	-6.007351
C40366541	P61281403	-6.000888
C54498092	P82014584	-5.998252
